exposure_days,days_in_quar,days_in_extended_quar,days_in_iso,t_latent,t_incubation,t_post_incubation,time_discharged,index_case,symptomatic,vaccinated,child,compliance,household,ext_group,FoI_max,FoI_community
1.9000000000000006,2.0000000000000004,0.0,9.99999999999998,0.1,9.30789363227782,9.18936463406999,1.061005e6,1,0,0,0,1.0,1869948,2,0.00029504555022476735,9.914323314216257e-5
0.30000000000000004,2.0000000000000004,0.0,9.99999999999998,0.1,6.342582005144776,9.690879699617522,1.061106e6,1,0,0,0,1.0,1870125,2,0.0005554019406009233,2.474554949004618e-5
0.30000000000000004,5.999999999999995,13.999999999999966,0.0,0.1,2.8859510355574582,9.581912608570427,1.061676e6,0,0,0,0,1.0,1871118,2,0.053662049165737136,0.0023798811880121513
17.69999999999998,13.999999999999966,0.0,0.0,0.1,12.184727041795089,8.7172007605788,1.062025e6,0,1,0,0,1.0,1871738,0,3.5166004078583915,16.13427894562672
2.800000000000001,5.999999999999995,0.0,9.99999999999998,0.1,10.221685563361321,8.85787644958081,1.062298e6,1,0,0,0,1.0,1872220,2,0.0007340843481881992,0.0004099048395694988
11.299999999999976,13.999999999999966,0.0,0.0,0.1,7.05040457429925,6.405128865692662,1.062796e6,0,0,0,0,1.0,1873098,0,0.6015897379803556,1.918999226539709
10.899999999999977,13.999999999999966,0.0,0.0,0.1,4.387533872445837,9.70072126373937,1.062886e6,0,0,0,1,1.0,1873257,0,2.18429963449066e-6,9.569234156414972e-6
0.2,2.0000000000000004,0.0,9.99999999999998,0.1,5.1785746875943826,9.59214113752655,1.063622e6,1,0,0,0,1.0,1874553,2,0.016364202873565315,0.0004751246957717933
3.2000000000000015,2.0000000000000004,13.999999999999966,0.0,0.1,10.73798024255397,8.31258666789738,1.064127e6,0,0,0,1,1.0,1875436,1,0.002828111690291784,0.0019247181992836481
0.9999999999999999,2.0000000000000004,13.999999999999966,0.0,0.1,5.723521019533121,7.844733592481421,1.064581e6,0,0,0,0,1.0,1876233,1,1.7308825504823239e-6,2.8190440002673885e-7
0.2,2.0000000000000004,13.999999999999966,0.0,0.1,2.9924904219748565,7.882357151390207,1.064653e6,0,0,0,0,1.0,1876362,2,2.409280208870655e-5,7.099663163818061e-7
